Id;Degree deviation;Degree;Neighbors;Connective redudancy
1194;0.35;1;1;0
1195;1.4;4;4;0
1196;1.75;5;5;0
1197;2.1;6;6;0
1198;0.35;1;1;0
1199;0.7;2;2;0
1200;0.35;1;1;0
1201;1.05;3;3;0
1202;0.7;2;2;0
1203;0.7;2;2;0
1204;37.792;108;108;0
1205;1.05;3;3;0
1206;2.1;6;6;0
1207;1.05;3;3;0
1208;1.75;5;5;0
1209;1.75;5;5;0
1210;3.149;9;9;0
1211;0.7;2;2;0
1212;1.4;4;4;0
1213;0.7;2;2;0
1214;0.7;2;2;0
1215;7.698;22;22;0
1216;11.898;34;34;0
1217;0.35;1;1;0
1218;2.449;7;7;0
1219;0.35;1;1;0
1220;5.599;16;16;0
1221;0.7;2;2;0
1222;0.35;1;1;0
1223;2.1;6;6;0
1224;1.75;5;5;0
1225;0.7;2;2;0
1226;0.35;1;1;0
1227;1.4;4;4;0
1228;2.449;7;7;0
1229;0.7;2;2;0
1230;1.75;5;5;0
1231;1.75;5;5;0
1232;0.7;2;2;0
1233;0.7;2;2;0
1234;2.1;6;6;0
1235;2.449;7;7;0
1236;1.75;5;5;0
1237;0.7;2;2;0
1238;0.7;2;2;0
1239;0.35;1;1;0
1240;0.7;2;2;0
1241;4.899;14;14;0
1242;1.05;3;3;0
1243;0.35;1;1;0
1244;1.75;5;5;0
1245;3.499;10;10;0
1246;1.4;4;4;0
1247;0.7;2;2;0
1248;1.4;4;4;0
1250;1.75;5;5;0
1251;0.7;2;2;0
1252;1.05;3;3;0
1253;1.4;4;4;0
1254;1.4;4;4;0
1256;0.7;2;2;0
1257;0.35;1;1;0
1258;0.35;1;1;0
1259;0.35;1;1;0
1260;0.35;1;1;0
1261;1.4;4;4;0
1262;0.35;1;1;0
1263;0.35;1;1;0
1264;0.35;1;1;0
1265;1.05;3;3;0
1266;0.35;1;1;0
1267;0.35;1;1;0
1268;1.05;3;3;0
1269;0.7;2;2;0
1271;1.05;3;3;0
1272;2.799;8;8;0
1273;0.35;1;1;0
1274;0.35;1;1;0
1275;0.35;1;1;0
1276;1.75;5;5;0
1277;1.75;5;5;0
1278;1.05;3;3;0
1280;3.149;9;9;0
1281;1.05;3;3;0
1283;1.75;5;5;0
1284;0.35;1;1;0
1285;1.4;4;4;0
1286;0.7;2;2;0
1287;0.35;1;1;0
1288;0.35;1;1;0
1289;0.7;2;2;0
1290;0.35;1;1;0
1291;0.35;1;1;0
1292;1.75;5;5;0
1293;0.35;1;1;0
1294;0.35;1;1;0
1295;0.7;2;2;0
1296;0;0;0;1
1297;0;0;0;1
1298;0;0;0;1
1299;0;0;0;1
1301;0;0;0;1
1302;0;0;0;1
1303;0;0;0;1
1304;0;0;0;1
1305;0;0;0;1
1306;0;0;0;1
1307;0;0;0;1
1308;0;0;0;1
1309;0;0;0;1
1310;0;0;0;1
1311;0;0;0;1
1312;0;0;0;1
1313;0;0;0;1
1314;0;0;0;1
1315;0;0;0;1
1316;0;0;0;1
1317;0;0;0;1
1318;0;0;0;1
1320;0;0;0;1
1321;0;0;0;1
1322;0;0;0;1
1323;0;0;0;1
1324;0;0;0;1
1325;0;0;0;1
1326;0;0;0;1
1327;0;0;0;1
1328;0;0;0;1
1329;0;0;0;1
1330;0;0;0;1
1331;0;0;0;1
1332;0;0;0;1
1333;0;0;0;1
1334;0;0;0;1
1335;0;0;0;1
1336;0;0;0;1
1337;0;0;0;1
1338;0;0;0;1
1339;0;0;0;1
1340;0;0;0;1
1341;0;0;0;1
1342;0;0;0;1
1343;0;0;0;1
1344;0;0;0;1
1345;0;0;0;1
1346;0;0;0;1
1347;0;0;0;1
1348;0;0;0;1
1349;0;0;0;1
1350;0;0;0;1
1352;0;0;0;1
1353;0;0;0;1
1354;0;0;0;1
1355;0;0;0;1
1357;0;0;0;1
1358;0;0;0;1
1359;0;0;0;1
1360;0;0;0;1
1361;0;0;0;1
1362;0;0;0;1
1363;0;0;0;1
1364;0;0;0;1
1365;0;0;0;1
1366;0;0;0;1
1367;0;0;0;1
1368;0;0;0;1
1369;0;0;0;1
1370;0;0;0;1
1371;0;0;0;1
1372;0;0;0;1
1375;0;0;0;1
1376;0;0;0;1
1377;0;0;0;1
1378;0;0;0;1
1379;0;0;0;1
1380;0;0;0;1
1381;0;0;0;1
1382;0;0;0;1
1383;0;0;0;1
1384;0;0;0;1
1385;0;0;0;1
1386;0;0;0;1
1387;0;0;0;1
1388;0;0;0;1
1389;0;0;0;1
1390;0;0;0;1
1391;0;0;0;1
1392;0;0;0;1
1393;0;0;0;1
1394;0;0;0;1
1395;0;0;0;1
1396;0;0;0;1
1397;0;0;0;1
1398;0;0;0;1
1399;0;0;0;1
1400;0;0;0;1
1401;0;0;0;1
1402;0;0;0;1
1403;0;0;0;1
1404;0;0;0;1
1405;0;0;0;1
1406;0;0;0;1
1407;0;0;0;1
1408;0;0;0;1
1409;0;0;0;1
1410;0;0;0;1
1412;0;0;0;1
1413;0;0;0;1
1414;0;0;0;1
1415;0;0;0;1
1416;0;0;0;1
1417;0;0;0;1
1418;0;0;0;1
1419;0;0;0;1
1420;0;0;0;1
1421;0;0;0;1
1422;0;0;0;1
1423;0;0;0;1
1424;0;0;0;1
1425;0;0;0;1
1426;0;0;0;1
1427;0;0;0;1
1428;0;0;0;1
1429;0;0;0;1
1430;0;0;0;1
1431;0;0;0;1
1432;0;0;0;1
1433;0;0;0;1
1434;0;0;0;1
1435;0;0;0;1
1436;0;0;0;1
1437;0;0;0;1
1438;0;0;0;1
1439;0;0;0;1
1440;0;0;0;1
1441;0;0;0;1
1442;0;0;0;1
1443;0;0;0;1
1444;0;0;0;1
1445;0;0;0;1
1446;0;0;0;1
1447;0;0;0;1
1448;0;0;0;1
1449;0;0;0;1
1450;0;0;0;1
1451;0;0;0;1
1452;0;0;0;1
1453;0;0;0;1
1454;0;0;0;1
1455;0;0;0;1
1456;0;0;0;1
1457;0;0;0;1
1458;0;0;0;1
1459;0;0;0;1
1460;0;0;0;1
1461;0;0;0;1
1462;0;0;0;1
1463;0;0;0;1
1464;0;0;0;1
1465;0;0;0;1
1466;0;0;0;1
1467;0;0;0;1
1468;0;0;0;1
1469;0;0;0;1
1470;0;0;0;1
1471;0;0;0;1
1472;0;0;0;1
1473;0;0;0;1
1475;0;0;0;1
1476;0;0;0;1
1477;0;0;0;1
1478;0;0;0;1
1481;0;0;0;1
1490;0;0;0;1
1491;0;0;0;1
1492;0;0;0;1
1493;0;0;0;1
1495;0;0;0;1
1496;0;0;0;1
1497;0;0;0;1
1498;0;0;0;1
1499;0;0;0;1
1500;0;0;0;1
1501;0;0;0;1
1502;0;0;0;1
1503;0;0;0;1
1504;0;0;0;1
1506;0;0;0;1
1507;0;0;0;1
1508;0;0;0;1
1509;0;0;0;1
1510;0;0;0;1
1511;0;0;0;1
1513;0;0;0;1
1514;0;0;0;1
1515;0;0;0;1
1516;0;0;0;1
1517;0;0;0;1
1518;0;0;0;1
1519;0;0;0;1
1520;0;0;0;1
1521;0;0;0;1
1522;0;0;0;1
1523;0;0;0;1
1524;0;0;0;1
1525;0;0;0;1
1526;0;0;0;1
1527;0;0;0;1
1528;0;0;0;1
1530;0;0;0;1
1531;0;0;0;1
1532;0;0;0;1
1533;0;0;0;1
1534;0;0;0;1
1535;0;0;0;1
1546;0;0;0;1
1547;0;0;0;1
1548;0;0;0;1
1549;0;0;0;1
1550;0;0;0;1
1551;0;0;0;1
1552;0;0;0;1
1553;0;0;0;1
1554;0;0;0;1
1555;0;0;0;1
1556;0;0;0;1
1567;0;0;0;1
1568;0;0;0;1
1569;0;0;0;1
1570;0;0;0;1
1571;0;0;0;1
1572;0;0;0;1
1573;0;0;0;1
1574;0;0;0;1
1575;0;0;0;1
1576;0;0;0;1
1577;0;0;0;1
1578;0;0;0;1
1579;0;0;0;1
1580;0;0;0;1
1581;0;0;0;1
1582;0;0;0;1
1583;0;0;0;1
1585;0;0;0;1
1586;0;0;0;1
1587;0;0;0;1
1588;0;0;0;1
1589;0;0;0;1
1590;0;0;0;1
1591;0;0;0;1
1592;0;0;0;1
1593;0;0;0;1
1594;0;0;0;1
1595;0;0;0;1
1596;0;0;0;1
1597;0;0;0;1
1598;0;0;0;1
1599;0;0;0;1
1600;0;0;0;1
1601;0;0;0;1
1602;0;0;0;1
1603;0;0;0;1
1604;0;0;0;1
1605;0;0;0;1
1606;0;0;0;1
1607;0;0;0;1
1608;0;0;0;1
1609;0;0;0;1
1610;0;0;0;1
1611;0;0;0;1
1612;0;0;0;1
1613;0;0;0;1
1614;0;0;0;1
1615;0;0;0;1
1616;0;0;0;1
1617;0;0;0;1
1619;0;0;0;1
1620;0;0;0;1
1621;0;0;0;1
1622;0;0;0;1
1623;0;0;0;1
1624;0;0;0;1
1625;0;0;0;1
1626;0;0;0;1
1627;0;0;0;1
1629;0;0;0;1
1632;0;0;0;1
1633;0;0;0;1
1635;0;0;0;1
1636;0;0;0;1
1637;0;0;0;1
1638;0;0;0;1
1639;0;0;0;1
1640;0;0;0;1
1641;0;0;0;1
1642;0;0;0;1
1643;0;0;0;1
1644;0;0;0;1
1645;0;0;0;1
1646;0;0;0;1
1647;0;0;0;1
1648;0;0;0;1
1649;0;0;0;1
1660;0;0;0;1
1661;0;0;0;1
1662;0;0;0;1
1663;0;0;0;1
1664;0;0;0;1
1665;0;0;0;1
1666;0;0;0;1
1667;0;0;0;1
1668;0;0;0;1
1669;0;0;0;1
1670;0;0;0;1
1671;0;0;0;1
1672;0;0;0;1
1673;0;0;0;1
1674;0;0;0;1
1675;0;0;0;1
1676;0;0;0;1
1677;0;0;0;1
1678;0;0;0;1
1679;0;0;0;1
1680;0;0;0;1
1681;0;0;0;1
1682;0;0;0;1
1683;0;0;0;1
1684;0;0;0;1
1685;0;0;0;1
1686;0;0;0;1
1687;0;0;0;1
1688;0;0;0;1
1689;0;0;0;1
1690;0;0;0;1
1691;0;0;0;1
1692;0;0;0;1
1693;0;0;0;1
1694;0;0;0;1
1695;0;0;0;1
1696;0;0;0;1
1697;0;0;0;1
1698;0;0;0;1
1699;0;0;0;1
1700;0;0;0;1
1701;0;0;0;1
1702;0;0;0;1
1703;0;0;0;1
1704;0;0;0;1
1705;0;0;0;1
1706;0;0;0;1
1707;0;0;0;1
1708;0;0;0;1
1709;0;0;0;1
1710;0;0;0;1
1711;0;0;0;1
1712;0;0;0;1
1713;0;0;0;1
1714;0;0;0;1
1715;0;0;0;1
1716;0;0;0;1
1717;0;0;0;1
1718;0;0;0;1
1719;0;0;0;1
1720;0;0;0;1
1721;0;0;0;1
1722;0;0;0;1
1723;0;0;0;1
1724;0;0;0;1
1725;0;0;0;1
1726;0;0;0;1
1727;0;0;0;1
1728;0;0;0;1
1729;0;0;0;1
1730;0;0;0;1
1731;0;0;0;1
1732;0;0;0;1
1733;0;0;0;1
1735;0;0;0;1
1736;0;0;0;1
1737;0;0;0;1
1738;0;0;0;1
1739;0;0;0;1
1740;0;0;0;1
1741;0;0;0;1
1742;0;0;0;1
1743;0;0;0;1
1744;0;0;0;1
1746;0;0;0;1
1747;0;0;0;1
1748;0;0;0;1
1749;0;0;0;1
1750;0;0;0;1
1751;0;0;0;1
1753;0;0;0;1
1754;0;0;0;1
1756;0;0;0;1
1757;0;0;0;1
1759;0;0;0;1
1761;0;0;0;1
1762;0;0;0;1
1764;0;0;0;1
1765;0;0;0;1
1766;0;0;0;1
1767;0;0;0;1
1768;0;0;0;1
1769;0;0;0;1
1770;0;0;0;1
1772;0;0;0;1
1773;0;0;0;1
1774;0;0;0;1
1775;0;0;0;1
1776;0;0;0;1
1777;0;0;0;1
1778;0;0;0;1
1779;0;0;0;1
1780;0;0;0;1
1781;0;0;0;1
1782;0;0;0;1
1783;0;0;0;1
1784;0;0;0;1
1795;0;0;0;1
1796;0;0;0;1
1797;0;0;0;1
1798;0;0;0;1
1799;0;0;0;1
1800;0;0;0;1
1801;0;0;0;1
1802;0;0;0;1
1804;0;0;0;1
1805;0;0;0;1
1806;0;0;0;1
1807;0;0;0;1
1808;0;0;0;1
1809;0;0;0;1
1810;0;0;0;1
1811;0;0;0;1
1812;0;0;0;1
1813;0;0;0;1
1814;0;0;0;1
1815;0;0;0;1
1816;0;0;0;1
1817;0;0;0;1
1818;0;0;0;1
1819;0;0;0;1
1820;0;0;0;1
1821;0;0;0;1
1822;0;0;0;1
1823;0;0;0;1
1824;0;0;0;1
1825;0;0;0;1
1826;0;0;0;1
1827;0;0;0;1
1828;0;0;0;1
1829;0;0;0;1
1830;0;0;0;1
1831;0;0;0;1
1832;0;0;0;1
1833;0;0;0;1
1834;0;0;0;1
1835;0;0;0;1
1836;0;0;0;1
1837;0;0;0;1
1838;0;0;0;1
1839;0;0;0;1
1840;0;0;0;1
1842;0;0;0;1
1844;0;0;0;1
1845;0;0;0;1
1846;0;0;0;1
1847;0;0;0;1
1848;0;0;0;1
1849;0;0;0;1
1850;0;0;0;1
1851;0;0;0;1
1852;0;0;0;1
1853;0;0;0;1
1854;0;0;0;1
1865;0;0;0;1
1867;0;0;0;1
1868;0;0;0;1
1869;0;0;0;1
1870;0;0;0;1
1871;0;0;0;1
1872;0;0;0;1
1873;0;0;0;1
1874;0;0;0;1
1875;0;0;0;1
1876;0;0;0;1
1877;0;0;0;1
1878;0;0;0;1
1879;0;0;0;1
1880;0;0;0;1
1881;0;0;0;1
1882;0;0;0;1
1883;0;0;0;1
1884;0;0;0;1
1885;0;0;0;1
1886;0;0;0;1
1887;0;0;0;1
1888;0;0;0;1
1890;0;0;0;1
1891;0;0;0;1
1892;0;0;0;1
1893;0;0;0;1
1894;0;0;0;1
1895;0;0;0;1
1896;0;0;0;1
1897;0;0;0;1
1898;0;0;0;1
1899;0;0;0;1
